fight_name,fighter_0,fighter_1,winner,method,round_end,date,fight_id
Yushin Okami v Dean Lister 2008-12-27,629,1607,0,Decision,3,2008-12-27,861
Cheick Kongo v Mostapha Al-Turk 2008-12-27,1288,1529,0,KO/TKO,1,2008-12-27,862
Rampage Jackson v Wanderlei Silva 2008-12-27,1096,1306,0,KO/TKO,1,2008-12-27,863
CB Dollaway v Mike Massenzio 2008-12-27,673,1396,0,KO/TKO,1,2008-12-27,864
Frank Mir v Minotauro Nogueira 2008-12-27,961,1048,0,KO/TKO,2,2008-12-27,865
Rashad Evans v Forrest Griffin 2008-12-27,724,1372,0,KO/TKO,3,2008-12-27,866
Dennis Siver v Nate Mohr 2009-01-17,824,1606,0,KO/TKO,3,2009-01-17,867
Tomasz Drwal v Ivan Serati 2009-01-17,1505,1605,0,KO/TKO,1,2009-01-17,868
Eric Schafer v Antonio Mendes 2009-01-17,1409,1604,0,KO/TKO,1,2009-01-17,869
Martin Kampmann v Alexandre Barros 2009-01-17,1262,1603,0,KO/TKO,2,2009-01-17,870
John Hathaway v Tom Egan 2009-01-17,1212,1602,0,KO/TKO,1,2009-01-17,871
Marcus Davis v Chris Lytle 2009-01-17,1475,1438,0,Decision,3,2009-01-17,872
Alan Belcher v Denis Kang 2009-01-17,1287,1555,0,Submission,2,2009-01-17,873
Rousimar Palhares v Jeremy Horn 2009-01-17,1249,1601,0,Decision,3,2009-01-17,874
Mauricio Rua v Mark Coleman 2009-01-17,626,1539,0,KO/TKO,3,2009-01-17,875
Dan Henderson v Rich Franklin 2009-01-17,900,1346,0,Decision,3,2009-01-17,876
Dan Cramer v Matt Arroyo 2009-01-31,1565,1600,0,Decision,3,2009-01-31,877
Jake O'Brien v Christian Wellisch 2009-01-31,1567,1599,0,Decision,3,2009-01-31,878
John Howard v Chris Wilson 2009-01-31,1000,1562,0,Decision,3,2009-01-31,879
Thiago Tavares v Manvel Gamburyan 2009-01-31,937,888,0,Decision,3,2009-01-31,880
Jon Fitch v Akihiro Gono 2009-01-31,1322,1598,0,Decision,3,2009-01-31,881
Clay Guida v Nate Diaz 2009-01-31,471,297,0,Decision,3,2009-01-31,882
Jon Jones v Stephan Bonnar 2009-01-31,118,1351,0,Decision,3,2009-01-31,883
Lyoto Machida v Thiago Silva 2009-01-31,735,1246,0,KO/TKO,1,2009-01-31,884
Georges St-Pierre v BJ Penn 2009-01-31,789,555,0,KO/TKO,4,2009-01-31,885
Matthew Riddle v Steve Bruno 2009-02-07,1345,1597,0,Decision,3,2009-02-07,886
Nick Catone v Derek Downey 2009-02-07,1219,1596,0,Submission,2,2009-02-07,887
Gleison Tibau v Rich Clementi 2009-02-07,726,1595,0,Submission,1,2009-02-07,888
Matt Veach v Matt Grice 2009-02-07,1528,1312,0,KO/TKO,1,2009-02-07,889
Dan Miller v Jake Rosholt 2009-02-07,1065,1552,0,Submission,1,2009-02-07,890
Kurt Pellegrino v Rob Emerson 2009-02-07,1461,1532,0,Submission,2,2009-02-07,891
Anthony Johnson v Luigi Fioravanti 2009-02-07,845,1594,0,KO/TKO,1,2009-02-07,892
Josh Neer v Mac Danzig 2009-02-07,1309,1228,0,Submission,2,2009-02-07,893
Cain Velasquez v Denis Stojnic 2009-02-07,598,1572,0,KO/TKO,2,2009-02-07,894
Joe Lauzon v Jeremy Stephens 2009-02-07,333,332,0,Submission,2,2009-02-07,895
Paul Kelly v Troy Mandaloniz 2009-02-21,1468,1593,0,Decision,3,2009-02-21,896
Mike Ciesnolevicz v Neil Grove 2009-02-21,1568,1592,0,Submission,1,2009-02-21,897
Evan Dunham v Per Eklund 2009-02-21,665,1591,0,KO/TKO,1,2009-02-21,898
Junior Dos Santos v Stefan Struve 2009-02-21,141,236,0,KO/TKO,1,2009-02-21,899
Terry Etim v Brian Cobb 2009-02-21,1317,1590,0,KO/TKO,2,2009-02-21,900
Paulo Thiago v Josh Koscheck 2009-02-21,1169,1108,0,KO/TKO,1,2009-02-21,901
Demian Maia v Chael Sonnen 2009-02-21,2,1236,0,Submission,1,2009-02-21,902
Nate Marquardt v Wilson Gouveia 2009-02-21,785,1545,0,KO/TKO,3,2009-02-21,903
Dan Hardy v Rory Markham 2009-02-21,1357,1535,0,KO/TKO,1,2009-02-21,904
Diego Sanchez v Joe Stevenson 2009-02-21,94,1442,0,Decision,3,2009-02-21,905
Shane Nelson v Aaron Riley 2009-03-07,1546,1273,0,KO/TKO,1,2009-03-07,906
Brandon Vera v Michael Patt 2009-03-07,1258,1589,0,KO/TKO,2,2009-03-07,907
Jason Brilz v Tim Boetsch 2009-03-07,1420,587,0,Decision,3,2009-03-07,908
Kendall Grove v Jason Day 2009-03-07,1450,1588,0,KO/TKO,1,2009-03-07,909
Tamdan McCrory v Ryan Madigan 2009-03-07,903,1587,0,KO/TKO,1,2009-03-07,910
Gray Maynard v Jim Miller 2009-03-07,663,108,0,Decision,3,2009-03-07,911
Matt Hamill v Mark Munoz 2009-03-07,1247,1085,0,KO/TKO,1,2009-03-07,912
Matt Brown v Pete Sell 2009-03-07,226,1586,0,KO/TKO,1,2009-03-07,913
Shane Carwin v Gabriel Gonzaga 2009-03-07,1445,955,0,KO/TKO,1,2009-03-07,914
Rampage Jackson v Keith Jardine 2009-03-07,1096,1512,0,Decision,3,2009-03-07,915
Aaron Simpson v Tim McKenzie 2009-04-01,1354,1585,0,KO/TKO,1,2009-04-01,916
Rob Kimmons v Joe Vedepo 2009-04-01,1462,1584,0,Submission,1,2009-04-01,917
Jorge Rivera v Nissen Osterneck 2009-04-01,1408,1583,0,Decision,3,2009-04-01,918
Tim Credeur v Nick Catone 2009-04-01,1447,1219,0,Submission,2,2009-04-01,919
Brock Larson v Jesse Sanders 2009-04-01,1553,1582,0,Submission,1,2009-04-01,920
Ricardo Almeida v Matt Horwich 2009-04-01,1460,1581,0,Decision,3,2009-04-01,921
Gleison Tibau v Jeremy Stephens 2009-04-01,726,332,0,Decision,3,2009-04-01,922
Cole Miller v Junie Browning 2009-04-01,866,1580,0,Submission,1,2009-04-01,923
Tyson Griffin v Rafael Dos Anjos 2009-04-01,1429,142,0,Decision,3,2009-04-01,924
Ryan Bader v Carmelo Marrero 2009-04-01,887,1579,0,Decision,3,2009-04-01,925
Martin Kampmann v Carlos Condit 2009-04-01,1262,618,0,Decision,3,2009-04-01,926
Eliot Marshall v Vinny Magalhaes 2009-04-18,1430,1268,0,Decision,3,2009-04-18,927
TJ Grant v Ryo Chonan 2009-04-18,1281,1578,0,Decision,3,2009-04-18,928
Mark Bocek v David Bielkheden 2009-04-18,1202,1577,0,Submission,1,2009-04-18,929
Ed Herman v David Loiseau 2009-04-18,278,1517,0,Decision,3,2009-04-18,930
Nate Quarry v Jason MacDonald 2009-04-18,1530,1391,0,KO/TKO,1,2009-04-18,931
Denis Kang v Xavier Foupa-Pokam 2009-04-18,1555,1573,0,Decision,3,2009-04-18,932
Luiz Cane v Steve Cantwell 2009-04-18,1353,1403,0,Decision,3,2009-04-18,933
Cheick Kongo v Antoni Hardonk 2009-04-18,1288,1557,0,KO/TKO,2,2009-04-18,934
Krzysztof Soszynski v Brian Stann 2009-04-18,1415,1307,0,Submission,1,2009-04-18,935
Mauricio Rua v Chuck Liddell 2009-04-18,626,1516,0,KO/TKO,1,2009-04-18,936
Sam Stout v Matt Wiman 2009-04-18,1041,248,0,Decision,3,2009-04-18,937
Anderson Silva v Thales Leites 2009-04-18,552,668,0,Decision,5,2009-04-18,938
George Roop v David Kaplan 2009-05-23,1034,1576,0,Decision,3,2009-05-23,939
Yoshiyuki Yoshida v Brandon Wolff 2009-05-23,1525,1575,0,Submission,1,2009-05-23,940
Krzysztof Soszynski v Andre Gusmao 2009-05-23,1415,1574,0,KO/TKO,1,2009-05-23,941
Kyle Bradley v Phillipe Nover 2009-05-23,1544,856,0,KO/TKO,1,2009-05-23,942
Tim Hague v Pat Barry 2009-05-23,1471,1232,0,Submission,1,2009-05-23,943
Brock Larson v Mike Pyle 2009-05-23,1553,748,0,Submission,1,2009-05-23,944
Frankie Edgar v Sean Sherk 2009-05-23,184,1501,0,Decision,3,2009-05-23,945
Chael Sonnen v Dan Miller 2009-05-23,1236,1065,0,Decision,3,2009-05-23,946
Drew McFedries v Xavier Foupa-Pokam 2009-05-23,1560,1573,0,KO/TKO,1,2009-05-23,947
Matt Hughes v Matt Serra 2009-05-23,1433,1500,0,Decision,3,2009-05-23,948
Lyoto Machida v Rashad Evans 2009-05-23,735,724,0,KO/TKO,2,2009-05-23,949
John Hathaway v Rick Story 2009-06-13,1212,923,0,Decision,3,2009-06-13,950
Stefan Struve v Denis Stojnic 2009-06-13,236,1572,0,Submission,2,2009-06-13,951
Paul Kelly v Rolando Delgado 2009-06-13,1468,1556,0,Decision,3,2009-06-13,952
Paul Taylor v Peter Sobotta 2009-06-13,1469,744,0,Decision,3,2009-06-13,953
Dennis Siver v Dale Hartt 2009-06-13,824,1571,0,Submission,1,2009-06-13,954
Terry Etim v Justin Buchholz 2009-06-13,1317,1541,0,Submission,2,2009-06-13,955
Dan Hardy v Marcus Davis 2009-06-13,1357,1475,0,Decision,3,2009-06-13,956
Spencer Fisher v Caol Uno 2009-06-13,1380,1533,0,Decision,3,2009-06-13,957
Mike Swick v Ben Saunders 2009-06-13,1067,227,0,KO/TKO,2,2009-06-13,958
Mirko Cro Cop v Mostapha Al-Turk 2009-06-13,1101,1529,0,KO/TKO,1,2009-06-13,959
Cain Velasquez v Cheick Kongo 2009-06-13,598,1288,0,Decision,3,2009-06-13,960
Rich Franklin v Wanderlei Silva 2009-06-13,1346,1306,0,Decision,3,2009-06-13,961
Jason Dent v Cameron Dollar 2009-06-20,1554,1570,0,Submission,1,2009-06-20,962
Nick Osipczak v Frank Lester 2009-06-20,1491,1569,0,Submission,1,2009-06-20,963
Tomasz Drwal v Mike Ciesnolevicz 2009-06-20,1505,1568,0,KO/TKO,1,2009-06-20,964
Brad Blackburn v Edgar Garcia 2009-06-20,1527,991,0,Decision,3,2009-06-20,965
Melvin Guillard v Gleison Tibau 2009-06-20,1210,726,0,Decision,3,2009-06-20,966
Joe Stevenson v Nate Diaz 2009-06-20,1442,297,0,Decision,3,2009-06-20,967
Ross Pearson v Andre Winner 2009-06-20,576,1441,0,Decision,3,2009-06-20,968
Chris Lytle v Kevin Burns 2009-06-20,1438,1547,0,Decision,3,2009-06-20,969
James Wilks v DaMarques Johnson 2009-06-20,1496,1360,0,Submission,1,2009-06-20,970
Diego Sanchez v Clay Guida 2009-06-20,94,471,0,Decision,3,2009-06-20,971
Shannon Gugerty v Matt Grice 2009-07-11,1537,1312,0,Submission,1,2009-07-11,972
Tom Lawlor v CB Dollaway 2009-07-11,966,673,0,Submission,1,2009-07-11,973
Dong Hyun Kim v TJ Grant 2009-07-11,827,1281,0,Decision,3,2009-07-11,974
Jon Jones v Jake O'Brien 2009-07-11,118,1567,0,Submission,2,2009-07-11,975
Jim Miller v Mac Danzig 2009-07-11,108,1228,0,Decision,3,2009-07-11,976
Mark Coleman v Stephan Bonnar 2009-07-11,1539,1351,0,Decision,3,2009-07-11,977
Yoshihiro Akiyama v Alan Belcher 2009-07-11,1004,1287,0,Decision,3,2009-07-11,978
Dan Henderson v Michael Bisping 2009-07-11,900,776,0,KO/TKO,2,2009-07-11,979
Georges St-Pierre v Thiago Alves 2009-07-11,789,242,0,Decision,5,2009-07-11,980
Brock Lesnar v Frank Mir 2009-07-11,1412,961,0,KO/TKO,2,2009-07-11,981
Jon Fitch v Paulo Thiago 2009-07-11,1322,1169,0,Decision,3,2009-07-11,982
Jesse Lennox v Danillo Villefort 2009-08-08,1518,1566,0,TKO,3,2009-08-08,983
George Sotiropoulos v George Roop 2009-08-08,1242,1034,0,Submission,2,2009-08-08,984
Matthew Riddle v Dan Cramer 2009-08-08,1345,1565,0,Decision,3,2009-08-08,985
Alessio Sakara v Thales Leites 2009-08-08,1239,668,0,Decision,3,2009-08-08,986
John Howard v Tamdan McCrory 2009-08-08,1000,903,0,Decision,3,2009-08-08,987
Kurt Pellegrino v Josh Neer 2009-08-08,1461,1309,0,Decision,3,2009-08-08,988
Ricardo Almeida v Kendall Grove 2009-08-08,1460,1450,0,Decision,3,2009-08-08,989
Johny Hendricks v Amir Sadollah 2009-08-08,790,1165,0,KO/TKO,1,2009-08-08,990
Aaron Riley v Shane Nelson 2009-08-08,1273,1546,0,Decision,3,2009-08-08,991
Anderson Silva v Forrest Griffin 2009-08-08,552,1372,0,KO/TKO,1,2009-08-08,992
BJ Penn v Kenny Florian 2009-08-08,555,1432,0,Submission,4,2009-08-08,993
Evan Dunham v Marcus Aurelio 2009-08-29,665,1564,0,Decision,3,2009-08-29,994
Mark Munoz v Nick Catone 2009-08-29,1085,1219,0,Decision,3,2009-08-29,995
Todd Duffee v Tim Hague 2009-08-29,1060,1471,0,KO/TKO,1,2009-08-29,996
Mike Russow v Justin McCully 2009-08-29,1327,1563,0,Decision,3,2009-08-29,997
Gabriel Gonzaga v Chris Tuchscherer 2009-08-29,955,1465,0,KO/TKO,1,2009-08-29,998
Aaron Simpson v Ed Herman 2009-08-29,1354,278,0,KO/TKO,2,2009-08-29,999
Brandon Vera v Krzysztof Soszynski 2009-08-29,1258,1415,0,Decision,3,2009-08-29,1000
Nate Marquardt v Demian Maia 2009-08-29,785,2,0,KO/TKO,1,2009-08-29,1001
Jake Rosholt v Chris Leben 2009-08-29,1552,1227,0,Submission,3,2009-08-29,1002
Thiago Silva v Keith Jardine 2009-08-29,1246,1512,0,KO/TKO,1,2009-08-29,1003
Minotauro Nogueira v Randy Couture 2009-08-29,1048,1451,0,Decision,3,2009-08-29,1004
Ryan Jensen v Steve Steinbeiss 2009-09-16,1453,1511,0,Submission,1,2009-09-16,1005
Mike Pierce v Brock Larson 2009-09-16,998,1553,0,Decision,3,2009-09-16,1006
Jeremy Stephens v Justin Buchholz 2009-09-16,332,1541,0,TKO,1,2009-09-16,1007
CB Dollaway v Jay Silva 2009-09-16,673,1543,0,Decision,3,2009-09-16,1008
Mike Pyle v Chris Wilson 2009-09-16,748,1562,0,Submission,3,2009-09-16,1009
Brian Stann v Steve Cantwell 2009-09-16,1307,1403,0,Decision,3,2009-09-16,1010
Nate Quarry v Tim Credeur 2009-09-16,1530,1447,0,Decision,3,2009-09-16,1011
Carlos Condit v Jake Ellenberger 2009-09-16,618,684,0,Decision,3,2009-09-16,1012
Gray Maynard v Roger Huerta 2009-09-16,663,1561,0,Decision,3,2009-09-16,1013
Nate Diaz v Melvin Guillard 2009-09-16,297,1210,0,Submission,2,2009-09-16,1014
Rafael Dos Anjos v Rob Emerson 2009-09-19,142,1532,0,Decision,3,2009-09-19,1015
Vladimir Matyushenko v Igor Pokrajac 2009-09-19,1326,956,0,Decision,3,2009-09-19,1016
Eliot Marshall v Jason Brilz 2009-09-19,1430,1420,0,Decision,3,2009-09-19,1017
Rick Story v Brian Foster 2009-09-19,923,1488,0,Submission,2,2009-09-19,1018
Nik Lentz v Rafaello Oliveira 2009-09-19,151,1217,0,Decision,3,2009-09-19,1019
Jim Miller v Steve Lopez 2009-09-19,108,1502,0,KO/TKO,2,2009-09-19,1020
Tomasz Drwal v Drew McFedries 2009-09-19,1505,1560,0,Submission,2,2009-09-19,1021
Efrain Escudero v Cole Miller 2009-09-19,953,866,0,KO/TKO,1,2009-09-19,1022
Tyson Griffin v Hermes Franca 2009-09-19,1429,1559,0,KO/TKO,2,2009-09-19,1023
Josh Koscheck v Frank Trigg 2009-09-19,1108,1540,0,KO/TKO,1,2009-09-19,1024
Paul Daley v Martin Kampmann 2009-09-19,1522,1262,0,KO/TKO,1,2009-09-19,1025
Junior Dos Santos v Mirko Cro Cop 2009-09-19,141,1101,0,KO/TKO,3,2009-09-19,1026
Vitor Belfort v Rich Franklin 2009-09-19,734,1346,0,KO/TKO,1,2009-09-19,1027
Stefan Struve v Chase Gormley 2009-10-24,236,1538,0,Submission,1,2009-10-24,1028
Kyle Kingsbury v Razak Al-Hassan 2009-10-24,1181,1558,0,Decision,3,2009-10-24,1029
Jorge Rivera v Rob Kimmons 2009-10-24,1408,1462,0,KO/TKO,3,2009-10-24,1030
Chael Sonnen v Yushin Okami 2009-10-24,1236,629,0,Decision,3,2009-10-24,1031
Pat Barry v Antoni Hardonk 2009-10-24,1232,1557,0,KO/TKO,2,2009-10-24,1032
Ryan Bader v Eric Schafer 2009-10-24,887,1409,0,Decision,3,2009-10-24,1033
Anthony Johnson v Yoshiyuki Yoshida 2009-10-24,845,1525,0,KO/TKO,1,2009-10-24,1034
Joe Stevenson v Spencer Fisher 2009-10-24,1442,1380,0,KO/TKO,2,2009-10-24,1035
Gleison Tibau v Josh Neer 2009-10-24,726,1309,0,Decision,3,2009-10-24,1036
Cain Velasquez v Ben Rothwell 2009-10-24,598,237,0,KO/TKO,2,2009-10-24,1037
Lyoto Machida v Mauricio Rua 2009-10-24,735,626,0,Decision,5,2009-10-24,1038
Andre Winner v Rolando Delgado 2009-11-14,1441,1556,0,KO/TKO,1,2009-11-14,1039
Alexander Gustafsson v Jared Hamman 2009-11-14,537,1261,0,KO/TKO,1,2009-11-14,1040
Dennis Siver v Paul Kelly 2009-11-14,824,1468,0,KO/TKO,2,2009-11-14,1041
Nick Osipczak v Matthew Riddle 2009-11-14,1491,1345,0,KO/TKO,3,2009-11-14,1042
Terry Etim v Shannon Gugerty 2009-11-14,1317,1537,0,Submission,2,2009-11-14,1043
John Hathaway v Paul Taylor 2009-11-14,1212,1469,0,Decision,3,2009-11-14,1044
Ross Pearson v Aaron Riley 2009-11-14,576,1273,0,TKO,2,2009-11-14,1045
Matt Brown v James Wilks 2009-11-14,226,1496,0,KO/TKO,3,2009-11-14,1046
Michael Bisping v Denis Kang 2009-11-14,776,1555,0,KO/TKO,2,2009-11-14,1047
Dan Hardy v Mike Swick 2009-11-14,1357,1067,0,Decision,3,2009-11-14,1048
Randy Couture v Brandon Vera 2009-11-14,1451,1258,0,Decision,3,2009-11-14,1049
George Sotiropoulos v Jason Dent 2009-11-21,1242,1554,0,Submission,2,2009-11-21,1050
Brian Foster v Brock Larson 2009-11-21,1488,1553,0,KO/TKO,2,2009-11-21,1051
Kendall Grove v Jake Rosholt 2009-11-21,1450,1552,0,Submission,1,2009-11-21,1052
Ben Saunders v Marcus Davis 2009-11-21,227,1475,0,KO/TKO,1,2009-11-21,1053
Amir Sadollah v Phil Baroni 2009-11-21,1165,1476,0,Decision,3,2009-11-21,1054
Rogerio Nogueira v Luiz Cane 2009-11-21,553,1353,0,KO/TKO,1,2009-11-21,1055
Paulo Thiago v Jacob Volkmann 2009-11-21,1169,1324,0,Decision,3,2009-11-21,1056
Josh Koscheck v Anthony Johnson 2009-11-21,1108,845,0,Submission,2,2009-11-21,1057
Forrest Griffin v Tito Ortiz 2009-11-21,1372,1373,0,Decision,3,2009-11-21,1058
Mark Bocek v Joe Brammer 2009-12-05,1202,1520,0,Submission,1,2009-12-05,1059
John Howard v Dennis Hallman 2009-12-05,1000,1416,0,KO/TKO,3,2009-12-05,1060
Brian Stann v Rodney Wallace 2009-12-05,1307,1509,0,Decision,3,2009-12-05,1061
Jon Madsen v Justin Wren 2009-12-05,1455,1551,0,Decision,3,2009-12-05,1062
James McSweeney v Darrill Schoonover 2009-12-05,1499,1550,0,KO/TKO,3,2009-12-05,1063
Matt Mitrione v Marcus Jones 2009-12-05,985,1549,0,KO/TKO,2,2009-12-05,1064
Frankie Edgar v Matt Veach 2009-12-05,184,1528,0,Submission,2,2009-12-05,1065
Kevin Ferguson v Houston Alexander 2009-12-05,1523,1548,0,Decision,3,2009-12-05,1066
Matt Hamill v Jon Jones 2009-12-05,1247,118,0,DQ,1,2009-12-05,1067
Roy Nelson v Brendan Schaub 2009-12-05,841,1145,0,KO/TKO,1,2009-12-05,1068
TJ Grant v Kevin Burns 2009-12-12,1281,1547,0,KO/TKO,1,2009-12-12,1069
DaMarques Johnson v Edgar Garcia 2009-12-12,1360,991,0,Submission,1,2009-12-12,1070
Rousimar Palhares v Lucio Linhares 2009-12-12,1249,1534,0,Submission,2,2009-12-12,1071
Johny Hendricks v Ricardo Funch 2009-12-12,790,1382,0,Decision,3,2009-12-12,1072
Matt Wiman v Shane Nelson 2009-12-12,248,1546,0,Decision,3,2009-12-12,1073
Alan Belcher v Wilson Gouveia 2009-12-12,1287,1545,0,KO/TKO,1,2009-12-12,1074
Stefan Struve v Paul Buentello 2009-12-12,236,1536,0,Decision,3,2009-12-12,1075
Kenny Florian v Clay Guida 2009-12-12,1432,471,0,Submission,2,2009-12-12,1076
Jon Fitch v Mike Pierce 2009-12-12,1322,998,0,Decision,3,2009-12-12,1077
Frank Mir v Cheick Kongo 2009-12-12,961,1288,0,Submission,1,2009-12-12,1078
BJ Penn v Diego Sanchez 2009-12-12,555,94,0,TKO,5,2009-12-12,1079
Rafaello Oliveira v John Gunderson 2010-01-02,1217,1504,0,Decision,3,2010-01-02,1080
Jake Ellenberger v Mike Pyle 2010-01-02,684,748,0,KO/TKO,2,2010-01-02,1081
Mark Munoz v Ryan Jensen 2010-01-02,1085,1453,0,KO/TKO,1,2010-01-02,1082
Cole Miller v Dan Lauzon 2010-01-02,866,1519,0,Submission,1,2010-01-02,1083
Martin Kampmann v Jacob Volkmann 2010-01-02,1262,1324,0,Submission,1,2010-01-02,1084
Junior Dos Santos v Gilbert Yvel 2010-01-02,141,1495,0,KO/TKO,1,2010-01-02,1085
Jim Miller v Duane Ludwig 2010-01-02,108,1359,0,Submission,1,2010-01-02,1086
Sam Stout v Joe Lauzon 2010-01-02,1041,333,0,Decision,3,2010-01-02,1087
Paul Daley v Dustin Hazelett 2010-01-02,1522,1480,0,KO/TKO,1,2010-01-02,1088
Rashad Evans v Thiago Silva 2010-01-02,724,1246,0,Decision,3,2010-01-02,1089
Nick Catone v Jesse Forbes 2010-01-11,1219,1521,0,Decision,3,2010-01-11,1090
Gerald Harris v John Salter 2010-01-11,1486,1508,0,KO/TKO,3,2010-01-11,1091
Rafael Dos Anjos v Kyle Bradley 2010-01-11,142,1544,0,Decision,3,2010-01-11,1092
Rory MacDonald v Mike Guymon 2010-01-11,945,1472,0,Submission,1,2010-01-11,1093
Rick Story v Jesse Lennox 2010-01-11,923,1518,0,Decision,3,2010-01-11,1094
Chris Leben v Jay Silva 2010-01-11,1227,1543,0,Decision,3,2010-01-11,1095
Amir Sadollah v Brad Blackburn 2010-01-11,1165,1527,0,Decision,3,2010-01-11,1096
Aaron Simpson v Tom Lawlor 2010-01-11,1354,966,0,Decision,3,2010-01-11,1097
Evan Dunham v Efrain Escudero 2010-01-11,665,953,0,Submission,3,2010-01-11,1098
Gray Maynard v Nate Diaz 2010-01-11,663,297,0,Decision,3,2010-01-11,1099
Joey Beltran v Rolles Gracie 2010-02-06,1248,1542,0,KO/TKO,2,2010-02-06,1100
Chris Tuchscherer v Tim Hague 2010-02-06,1465,1471,0,Decision,3,2010-02-06,1101
Phil Davis v Brian Stann 2010-02-06,1127,1307,0,Decision,3,2010-02-06,1102
Rob Emerson v Phillipe Nover 2010-02-06,1532,856,0,Decision,3,2010-02-06,1103
Melvin Guillard v Ronys Torres 2010-02-06,1210,1531,0,Decision,3,2010-02-06,1104
Mac Danzig v Justin Buchholz 2010-02-06,1228,1541,0,Decision,3,2010-02-06,1105
Matt Serra v Frank Trigg 2010-02-06,1500,1540,0,KO/TKO,1,2010-02-06,1106
Demian Maia v Dan Miller 2010-02-06,2,1065,0,Decision,3,2010-02-06,1107
Paulo Thiago v Mike Swick 2010-02-06,1169,1067,0,Submission,2,2010-02-06,1108
Chael Sonnen v Nate Marquardt 2010-02-06,1236,785,0,Decision,3,2010-02-06,1109
Randy Couture v Mark Coleman 2010-02-06,1451,1539,0,Submission,2,2010-02-06,1110
James Te Huna v Igor Pokrajac 2010-02-20,962,956,0,KO/TKO,3,2010-02-20,1111
CB Dollaway v Goran Reljic 2010-02-20,673,1490,0,Decision,3,2010-02-20,1112
Chris Lytle v Brian Foster 2010-02-20,1438,1488,0,Submission,1,2010-02-20,1113
Krzysztof Soszynski v Stephan Bonnar 2010-02-20,1415,1351,0,TKO,3,2010-02-20,1114
Mirko Cro Cop v Anthony Perosh 2010-02-20,1101,1012,0,TKO,2,2010-02-20,1115
Ryan Bader v Keith Jardine 2010-02-20,887,1512,0,KO/TKO,3,2010-02-20,1116
George Sotiropoulos v Joe Stevenson 2010-02-20,1242,1442,0,Decision,3,2010-02-20,1117
Wanderlei Silva v Michael Bisping 2010-02-20,1306,776,0,Decision,3,2010-02-20,1118
Cain Velasquez v Minotauro Nogueira 2010-02-20,598,1048,0,KO/TKO,1,2010-02-20,1119
Eric Schafer v Jason Brilz 2010-03-21,1409,1420,1,Decision,3,2010-03-21,1120
Mike Pierce v Julio Paulino 2010-03-21,998,1503,0,Decision,3,2010-03-21,1121
Brendan Schaub v Chase Gormley 2010-03-21,1145,1538,0,KO/TKO,1,2010-03-21,1122
John Howard v Daniel Roberts 2010-03-21,1000,1410,0,KO/TKO,1,2010-03-21,1123
Duane Ludwig v Darren Elkins 2010-03-21,1359,502,1,KO/TKO,1,2010-03-21,1124
Eliot Marshall v Vladimir Matyushenko 2010-03-21,1430,1326,1,Decision,3,2010-03-21,1125
Clay Guida v Shannon Gugerty 2010-03-21,471,1537,0,Submission,2,2010-03-21,1126
Alessio Sakara v James Irvin 2010-03-21,1239,1510,0,KO/TKO,1,2010-03-21,1127
Cheick Kongo v Paul Buentello 2010-03-21,1288,1536,0,KO/TKO,3,2010-03-21,1128
Junior Dos Santos v Gabriel Gonzaga 2010-03-21,141,955,0,KO/TKO,1,2010-03-21,1129
Brandon Vera v Jon Jones 2010-03-21,1258,118,1,KO/TKO,1,2010-03-21,1130
Matthew Riddle v Greg Soto 2010-03-27,1345,1477,0,DQ,3,2010-03-27,1131
Rodney Wallace v Jared Hamman 2010-03-27,1509,1261,1,Decision,3,2010-03-27,1132
Rousimar Palhares v Tomasz Drwal 2010-03-27,1249,1505,0,Submission,1,2010-03-27,1133
Ricardo Almeida v Matt Brown 2010-03-27,1460,226,0,Submission,2,2010-03-27,1134
Nate Diaz v Rory Markham 2010-03-27,297,1535,0,KO/TKO,1,2010-03-27,1135
Jim Miller v Mark Bocek 2010-03-27,108,1202,0,Decision,3,2010-03-27,1136
Ben Saunders v Jon Fitch 2010-03-27,227,1322,1,Decision,3,2010-03-27,1137
Kurt Pellegrino v Fabricio Camoes 2010-03-27,1461,1160,0,Submission,2,2010-03-27,1138
Frank Mir v Shane Carwin 2010-03-27,961,1445,1,KO/TKO,1,2010-03-27,1139
Georges St-Pierre v Dan Hardy 2010-03-27,789,1357,0,Decision,5,2010-03-27,1140
Charlie Brenneman v Jason High 2010-03-31,1153,1195,0,Decision,3,2010-03-31,1141
Gerald Harris v Mario Miranda 2010-03-31,1486,1458,0,KO/TKO,1,2010-03-31,1142
Yushin Okami v Lucio Linhares 2010-03-31,629,1534,0,TKO,2,2010-03-31,1143
Caol Uno v Gleison Tibau 2010-03-31,1533,726,1,KO/TKO,1,2010-03-31,1144
Rob Emerson v Nik Lentz 2010-03-31,1532,151,1,Decision,3,2010-03-31,1145
Jacob Volkmann v Ronys Torres 2010-03-31,1324,1531,0,Decision,3,2010-03-31,1146
Andre Winner v Rafaello Oliveira 2010-03-31,1441,1217,0,Decision,3,2010-03-31,1147
Ross Pearson v Dennis Siver 2010-03-31,576,824,0,Decision,3,2010-03-31,1148
Nate Quarry v Jorge Rivera 2010-03-31,1530,1408,1,KO/TKO,2,2010-03-31,1149
Roy Nelson v Stefan Struve 2010-03-31,841,236,0,KO/TKO,1,2010-03-31,1150
Kenny Florian v Takanori Gomi 2010-03-31,1432,797,0,Submission,3,2010-03-31,1151
